file,alpha,solution,time,Gsize,Hsize
config-38_38-38_38.dat,0.1,,0.029007911682128906,38,38
config-38_39-38_38.dat,0.1,,0.1980452537536621,38,38
config-38_39-38_39.dat,0.1,,0.013002395629882812,38,38
config-38_40-38_38.dat,0.1,,0.012002229690551758,38,38
config-38_40-38_39.dat,0.1,,0.4481008052825928,38,38
config-38_40-38_40.dat,0.1,,0.4761064052581787,38,38
config-39_38-38_38.dat,0.1,,0.09602117538452148,39,38
config-39_38-38_39.dat,0.1,,0.04300975799560547,39,38
config-39_38-38_40.dat,0.1,,0.01100301742553711,39,38
config-39_38-39_38.dat,0.1,,0.013005971908569336,39,39
config-39_39-38_38.dat,0.1,,0.016003847122192383,39,38
config-39_39-38_39.dat,0.1,,0.011002779006958008,39,38
config-39_39-38_40.dat,0.1,,0.018003463745117188,39,38
config-39_39-39_38.dat,0.1,,0.09602117538452148,39,39
config-39_39-39_39.dat,0.1,,0.21504831314086914,39,39
config-39_40-38_38.dat,0.1,,0.010002613067626953,39,38
config-39_40-38_39.dat,0.1,,0.009002208709716797,39,38
config-39_40-38_40.dat,0.1,,0.21404767036437988,39,38
config-39_40-39_38.dat,0.1,,0.009003639221191406,39,39
config-39_40-39_39.dat,0.1,,0.21004652976989746,39,39
config-39_40-39_40.dat,0.1,,0.009000539779663086,39,39
config-40_39-38_38.dat,0.1,,0.006000995635986328,40,38
config-40_39-38_39.dat,0.1,,0.19904446601867676,40,38
config-40_39-38_40.dat,0.1,,0.03900885581970215,40,38
config-40_39-39_38.dat,0.1,,0.07601594924926758,40,39
config-40_39-39_39.dat,0.1,,0.8191835880279541,40,39
config-40_39-39_40.dat,0.1,,0.08201766014099121,40,39
config-40_39-40_39.dat,0.1,,0.009001970291137695,40,40
config-40_40-38_38.dat,0.1,,0.018004894256591797,40,38
config-40_40-38_39.dat,0.1,,0.012003183364868164,40,38
config-40_40-38_40.dat,0.1,,0.21904969215393066,40,38
config-40_40-39_38.dat,0.1,,2.5225672721862793,40,39
config-40_40-39_39.dat,0.1,,0.01800394058227539,40,39
config-40_40-39_40.dat,0.1,,0.14503264427185059,40,39
config-40_40-40_39.dat,0.1,,0.15103435516357422,40,40
config-40_40-40_40.dat,0.1,,0.008002042770385742,40,40
config-38_38-38_38.dat,0.2,,0.02300572395324707,38,38
config-38_39-38_38.dat,0.2,,0.015003442764282227,38,38
config-38_39-38_39.dat,0.2,,0.012002706527709961,38,38
config-38_40-38_38.dat,0.2,,0.010001659393310547,38,38
config-38_40-38_39.dat,0.2,,0.015001773834228516,38,38
config-38_40-38_40.dat,0.2,,0.3030681610107422,38,38
config-39_38-38_38.dat,0.2,,0.24605560302734375,39,38
config-39_38-38_39.dat,0.2,,0.07501697540283203,39,38
config-39_38-38_40.dat,0.2,,0.01400303840637207,39,38
config-39_38-39_38.dat,0.2,,0.009001731872558594,39,39
config-39_39-38_38.dat,0.2,,0.016003131866455078,39,38
config-39_39-38_39.dat,0.2,,0.010001420974731445,39,38
config-39_39-38_40.dat,0.2,,0.7371649742126465,39,38
config-39_39-39_38.dat,0.2,,0.010002613067626953,39,39
config-39_39-39_39.dat,0.2,,0.041008949279785156,39,39
config-39_40-38_38.dat,0.2,,0.030006885528564453,39,38
config-39_40-38_39.dat,0.2,,0.0400083065032959,39,38
config-39_40-38_40.dat,0.2,,0.03200721740722656,39,38
config-39_40-39_38.dat,0.2,,0.009001493453979492,39,39
config-39_40-39_39.dat,0.2,,0.019003629684448242,39,39
config-39_40-39_40.dat,0.2,,0.009002923965454102,39,39
config-40_39-38_38.dat,0.2,,0.00600123405456543,40,38
config-40_39-38_39.dat,0.2,,0.4030907154083252,40,38
config-40_39-38_40.dat,0.2,,0.1380314826965332,40,38
config-40_39-39_38.dat,0.2,,0.09302186965942383,40,39
config-40_39-39_39.dat,0.2,,0.4120926856994629,40,39
config-40_39-39_40.dat,0.2,,0.15603351593017578,40,39
config-40_39-40_39.dat,0.2,,0.01000213623046875,40,40
config-40_40-38_38.dat,0.2,,0.031008243560791016,40,38
config-40_40-38_39.dat,0.2,,0.48810863494873047,40,38
config-40_40-38_40.dat,0.2,,0.08801984786987305,40,38
config-40_40-39_38.dat,0.2,,0.5871307849884033,40,39
config-40_40-39_39.dat,0.2,,0.024006366729736328,40,39
config-40_40-39_40.dat,0.2,,0.012003421783447266,40,39
